user_id,item_id,rating
1,101,5.0
1,102,3.0
1,103,4.0
1,105,2.0
1,107,4.5
2,101,4.0
2,103,5.0
2,104,3.5
2,106,4.0
2,108,2.5
3,102,5.0
3,103,3.0
3,105,4.5
3,106,5.0
3,109,3.5
4,101,2.0
4,104,4.0
4,105,5.0
4,107,3.0
4,110,4.5
5,102,4.0
5,104,3.0
5,106,5.0
5,108,4.0
5,110,3.5
6,101,5.0
6,103,4.0
6,107,5.0
6,109,3.0
6,110,4.0
7,102,3.5
7,105,4.0
7,106,4.5
7,108,5.0
7,109,2.0
8,101,4.5
8,104,5.0
8,106,3.0
8,107,4.0
8,110,5.0
9,102,2.0
9,103,4.5
9,105,3.5
9,108,4.0
9,109,5.0
10,101,3.0
10,104,4.0
10,106,4.5
10,108,3.5
10,110,5.0
